,index,NAME,TYPE,STATE,stateIDs,lat,lon,GEOID
60,61,Chemung,County,NY,36,42.13891056,-76.7638805,36015
61,62,Chenango,County,NY,36,42.4941926,-75.60942539,36017
62,63,Chesapeake,City,VA,51,36.67670048,-76.30545744,51550
63,64,Chester,County,PA,42,39.97307948,-75.74580403,42029
64,65,Chesterfield,County,VA,51,37.37369854,-77.58668072,51041
65,66,Clarion,County,PA,42,41.19309854,-79.42292562,42031
66,67,Clarke,County,VA,51,39.11294697,-77.99252665,51043
67,68,Clay,County,WV,54,38.46231092,-81.07652217,54015
68,69,Clearfield,County,PA,42,41.00110782,-78.47592663,42033
69,70,Clinton,County,PA,42,41.23284762,-77.63656492,42035
70,71,Colonial Heights,City,VA,51,37.26420587,-77.39609676,51570
71,72,Columbia,County,PA,42,41.04821776,-76.40564977,42037
72,73,Cortland,County,NY,36,42.59509207,-76.07048931,36023
73,74,Covington,City,VA,51,37.77820686,-79.98573507,51580
74,75,Craig,County,VA,51,37.48133648,-80.21072274,51045
75,76,Crawford,County,PA,42,41.6848279,-80.10872001,42039
76,77,Culpeper,County,VA,51,38.48401706,-77.95862398,51047
77,78,Cumberland,County,NJ,34,39.37167069,-75.10660259,34011
78,79,Cumberland,County,PA,42,40.16284441,-77.26417094,42041
79,80,Cumberland,County,VA,51,37.51330034,-78.24398199,51049
80,81,Danville,City,VA,51,36.58022376,-79.40395668,51590
81,82,Dauphin,County,PA,42,40.41397293,-76.77655524,42043
82,83,Delaware,County,NY,36,42.19787259,-74.96574114,36025
83,84,Delaware,County,PA,42,39.91569836,-75.39991691,42045
84,85,Dickenson,County,VA,51,37.12559152,-82.35124941,51051
85,86,Dinwiddie,County,VA,51,37.07544384,-77.6345015,51053
86,87,District of Columbia,County,DC,11,38.90417773,-77.01655992,11001
87,88,Doddridge,County,WV,54,39.27057157,-80.70671527,54017
88,89,Dorchester,County,MD,24,38.45413522,-76.02752426,24019
89,90,Elk,County,PA,42,41.42822061,-78.64524744,42047
90,91,Emporia,City,VA,51,36.69457376,-77.53405925,51595
91,92,Erie,County,PA,42,41.9927335,-80.03291079,42049
92,93,Essex,County,VA,51,37.93378669,-76.94238023,51057
93,94,Fairfax,County,VA,51,38.85157547,-77.2977964,51600
94,96,Falls Church,City,VA,51,38.88459151,-77.1753805,51610
95,97,Fauquier,County,VA,51,38.73564842,-77.80647472,51061
96,98,Fayette,County,PA,42,39.91812937,-79.6439364,42051
97,99,Fayette,County,WV,54,38.02974928,-81.08286634,54019
98,100,Floyd,County,VA,51,36.93020645,-80.3673775,51063
99,101,Fluvanna,County,VA,51,37.84155892,-78.27714329,51065
100,102,Forest,County,PA,42,41.51094029,-79.23228797,42053
101,103,Franklin,County,PA,42,39.92956518,-77.72157791,42055
102,104,Franklin,County,VA,51,36.99272467,-79.87956838,51067
103,106,Frederick,County,MD,24,39.47267345,-77.39779097,24021
104,107,Frederick,County,VA,51,39.20177863,-78.26012305,51069
105,108,Fredericksburg,City,VA,51,38.29729443,-77.48542934,51630
106,109,Fulton,County,PA,42,39.92913544,-78.11163677,42057
107,110,Galax,City,VA,51,36.6659931,-80.9170375,51640
108,111,Garrett,County,MD,24,39.52786077,-79.27355126,24023
109,112,Giles,County,VA,51,37.31238683,-80.70624223,51071
110,113,Gilmer,County,WV,54,38.9251185,-80.85951389,54021
111,114,Gloucester,County,NJ,34,39.71581067,-75.13995546,34015
112,115,Gloucester,County,VA,51,37.40809042,-76.53524337,51073
113,116,Goochland,County,VA,51,37.71714091,-77.90376398,51075
114,117,Grant,County,WV,54,39.10314817,-79.19440518,54023
115,118,Grayson,County,VA,51,36.65677268,-81.23216244,51077
116,119,Greenbrier,County,WV,54,37.9463652,-80.45335881,54025
117,120,Greene,County,NY,36,42.275797,-74.12384884,36039
118,121,Greene,County,PA,42,39.85707472,-80.22369451,42059
119,122,Greene,County,VA,51,38.29545246,-78.46530128,51079
120,123,Greensville,County,VA,51,36.67878837,-77.56351483,51081
121,124,Halifax,County,VA,51,36.76654925,-78.93512622,51083
122,125,Hampshire,County,WV,54,39.32102219,-78.60828534,54027
123,126,Hampton,City,VA,51,37.03513786,-76.35879121,51650
124,127,Hancock,County,WV,54,40.51943859,-80.57461608,54029
125,128,Hanover,County,VA,51,37.75956699,-77.49076272,51085
126,129,Hardy,County,WV,54,39.00683177,-78.85855301,54031
127,130,Harford,County,MD,24,39.55010556,-76.30775789,24025
128,131,Harrison,County,WV,54,39.28535018,-80.37920117,54033
129,132,Harrisonburg,City,VA,51,38.43379742,-78.87502524,51660
130,133,Henrico,County,VA,51,37.53459785,-77.39324619,51087
131,134,Henry,County,VA,51,36.68227381,-79.87742515,51089
132,135,Herkimer,County,NY,36,43.42029826,-74.96148942,36043
133,136,Highland,County,VA,51,38.35799334,-79.56125426,51091
134,137,Hopewell,City,VA,51,37.29271439,-77.29800009,51670
