ID,Longterm SID,POR Start,POR End,Lat,Lon,rp_b_2-yr,rp_b_5-yr,rp_b_10-yr,rp_b_25-yr,rp_b_50-yr,rp_b_100-yr,FID,key_ix
USC00304207,USC00304207 6,"1960","2020",42.11,-79.1591,0,0,0,0,0,0,"2543",id60_185
USC00304808,USC00304808 6,"1941","2020",42.2473,-78.8125,2.01054899927441,2.61065051790762,3.03329111291273,3.59799043330644,4.04025121663324,4.49994023270771,"2541",id60_186
USC00305673,USC00305673 6,"1948","2020",42.32449,-78.86701,0,0,0,0,0,0,"2541",id60_186
USC00300093,USC00300093 6,"1924","2020",42.1003,-78.7497,2.02398070095685,2.65899159851467,3.12618396369056,3.77570427728154,4.30429249075355,4.87196158885969,"2541",id60_186
USC00306196,USC00306196 6,"1909","2020",42.0737,-78.4518,1.88694481512906,2.44461057806504,2.83143846833727,3.34121182933592,3.73516266670064,4.14001564580847,"2547",id60_187
USC00300183,USC00300183 6,"1893","2020",42.3108,-78.023,2.04896410333052,2.73414717707054,3.20969798302383,3.83671541298467,4.32151345700368,4.81993883483865,"2547",id60_187
USC00303025,USC00303025 6,"1896","2020",42.3295,-78.4637,1.88994450154671,2.36056256806929,2.64099228438339,2.96336802042165,3.18144838235908,3.38165162286574,"2547",id60_187
USC00307329,USC00307329 6,"1954","2020",42.4261,-78.1922,0,0,0,0,0,0,"2547",id60_187
USC00309425,USC00309425 6,"1954","2020",42.05983,-77.75539,0,0,0,0,0,0,"2545",id60_188
USC00309072,USC00309072 6,"1956","2020",42.1173,-77.9475,0,0,0,0,0,0,"2545",id60_188
USC00300085,USC00300085 6,"1893","2020",42.27984,-77.76564,2.06429324532212,2.7195224609429,3.16316417071808,3.73515149485013,4.16789849679688,4.60467137513933,"2545",id60_188
USC00303983,USC00303983 6,"1950","2020",42.3488,-77.7044,0,0,0,0,0,0,"2545",id60_188
USC00300023,USC00300023 6,"1893","2020",42.1013,-77.2344,0,0,0,0,0,0,"2535",id60_189
USC00301787,USC00301787 6,"1909","2020",42.1341,-77.0691,0,0,0,0,0,0,"2535",id60_189
USC00300448,USC00300448 6,"1953","2015",42.3488,-77.3477,0,0,0,0,0,0,"2535",id60_189
USC00301413,USC00301413 6,"1888","2016",42.0025,-76.6384,1.90600341773643,2.43747175543148,2.78285089752162,3.21197122955374,3.52515764737807,3.83175203442794,"2533",id60_190
USC00302610,USC00302610 6,"1893","2020",42.0997,-76.8358,1.84183588454049,2.47965199502547,3.01431365478895,3.85219797256347,4.6170921014886,5.52330688827456,"2533",id60_190
USW00014748,USW00014748 6,"1938","2020",42.15944,-76.89194,0,0,0,0,0,0,"2533",id60_190
USC00309047,USC00309047 6,"1893","2020",42.0019,-76.525,0,0,0,0,0,0,"2533",id60_190
USC00301168,USC00301168 6,"1944","2020",42.1944,-76.3127,1.89785657243653,2.60208361150176,3.12953444594911,3.87487409611228,4.49103870607984,5.16167766351067,"2539",id60_191
USC00304174,USC00304174 6,"1893","2020",42.4491,-76.4491,2.00390501273708,2.68427187960008,3.17242943694052,3.83576965071227,4.36383195087014,4.92038180027037,"2539",id60_191
USW00004725,USW00004725 6,"1951","2020",42.2068,-75.98,0,0,0,0,0,0,"2537",id60_192
USC00309442,USC00309442 6,"1948","2020",42.3419,-75.9653,0,0,0,0,0,0,"2537",id60_192
USC00303444,USC00303444 6,"1909","2020",42.3239,-75.7711,0,0,0,0,0,0,"2537",id60_192
USC00302454,USC00302454 6,"1950","2020",42.33278,-75.22982,0,0,0,0,0,0,"2527",id60_193
USC00302169,USC00302169 6,"1959","2020",42.0772,-74.9827,0,0,0,0,0,0,"2524",id60_194
USC00300254,USC00300254 6,"1948","2017",42.1394,-74.6536,2.09121209954145,2.64833949198281,3.06054940475252,3.63658425253304,4.10769888241108,4.61578819701288,"2524",id60_194
USC00302036,USC00302036 6,"1924","2020",42.2533,-74.905,0,0,0,0,0,0,"2524",id60_194
USC00304025,USC00304025 6,"1957","2017",42.24746,-73.79219,0,0,0,0,0,0,"2529",id60_196
USC00300063,USC00300063 6,"1942","2020",42.4697,-73.9267,2.29428241481456,3.21716800996456,4.00972152334887,5.2798435959551,6.46430980879951,7.89351669977263,"2529",id60_196
USC00308910,USC00308910 6,"1948","2020",42.7392,-78.5878,0,0,0,0,0,0,"2822",id61_186
USW00014733,USW00014733 6,"1938","2020",42.9408,-78.7358,1.78559145453464,2.40913601961116,3.02371259958547,4.14371225584498,5.32343624511882,6.90422879883966,"2822",id61_186
USC00300220,USC00300220 6,"1893","2020",42.5347,-78.4575,0,0,0,0,0,0,"2810",id61_187
USC00306745,USC00306745 6,"1898","2019",42.5699,-78.0405,0,0,0,0,0,0,"2810",id61_187
USC00308962,USC00308962 6,"1952","2020",42.6855,-78.2202,0,0,0,0,0,0,"2810",id61_187
USW00094704,USW00094704 6,"1945","2020",42.57083,-77.71333,0,0,0,0,0,0,"2808",id61_188
USC00301974,USC00301974 6,"1917","2020",42.56477,-77.71762,1.77390822780529,2.19540280169476,2.4226967772245,2.66183229058835,2.81009331248025,2.93655257787311,"2808",id61_188
USC00305597,USC00305597 6,"1893","2020",42.7313,-77.9054,1.68910296539963,2.33405494992867,2.86128772420863,3.66859893185778,4.38944314216706,5.22741863399272,"2808",id61_188
