,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
258,Rockingham,County,VA,1.12,1.12,1.11,1.1,1.09,1.08
259,Russell,County,VA,1.09,1.1,1.11,1.12,1.13,1.13
260,Salem,County,NJ,1.11,1.11,1.11,1.11,1.12,1.13
261,Salem,City,VA,1.14,1.18,1.2,1.19,1.19,1.19
262,Schoharie,County,NY,1.14,1.13,1.12,1.11,1.11,1.12
263,Schuyler,County,NY,1.11,1.11,1.12,1.11,1.11,1.11
264,Schuylkill,County,PA,1.11,1.13,1.13,1.16,1.18,1.21
265,Scott,County,VA,1.13,1.13,1.14,1.16,1.17,1.18
266,Shenandoah,County,VA,1.13,1.13,1.12,1.1,1.1,1.1
267,Smyth,County,VA,1.11,1.11,1.1,1.1,1.1,1.11
268,Snyder,County,PA,1.12,1.13,1.13,1.14,1.14,1.14
269,Somerset,County,MD,1.1,1.1,1.1,1.1,1.11,1.12
270,Somerset,County,PA,1.09,1.1,1.1,1.1,1.1,1.1
271,Southampton,County,VA,1.09,1.1,1.1,1.1,1.12,1.14
272,Spotsylvania,County,VA,1.11,1.11,1.11,1.11,1.11,1.12
273,St. Mary's,County,MD,1.09,1.09,1.08,1.08,1.08,1.08
274,Stafford,County,VA,1.1,1.11,1.12,1.13,1.13,1.14
275,Staunton,City,VA,1.12,1.13,1.14,1.14,1.14,1.15
276,Steuben,County,NY,1.11,1.11,1.11,1.1,1.09,1.08
277,Suffolk,City,VA,1.11,1.12,1.14,1.15,1.17,1.18
278,Sullivan,County,NY,1.12,1.14,1.14,1.15,1.17,1.18
279,Sullivan,County,PA,1.09,1.11,1.12,1.13,1.13,1.15
280,Summers,County,WV,1.09,1.09,1.1,1.11,1.13,1.15
281,Surry,County,VA,1.1,1.1,1.09,1.08,1.07,1.08
282,Susquehanna,County,PA,1.09,1.09,1.1,1.11,1.12,1.13
283,Sussex,County,DE,1.09,1.1,1.1,1.09,1.08,1.08
284,Sussex,County,NJ,1.13,1.13,1.13,1.14,1.16,1.17
285,Sussex,County,VA,1.09,1.1,1.1,1.1,1.1,1.09
286,Talbot,County,MD,1.07,1.07,1.06,1.06,1.05,1.04
287,Taylor,County,WV,1.08,1.07,1.08,1.09,1.1,1.1
288,Tazewell,County,VA,1.09,1.09,1.09,1.1,1.11,1.12
289,Tioga,County,NY,1.08,1.09,1.09,1.1,1.11,1.14
290,Tioga,County,PA,1.11,1.11,1.11,1.11,1.11,1.1
291,Tompkins,County,NY,1.1,1.11,1.1,1.1,1.11,1.11
292,Tucker,County,WV,1.07,1.08,1.09,1.08,1.07,1.07
293,Tyler,County,WV,1.07,1.06,1.05,1.06,1.07,1.07
294,Ulster,County,NY,1.14,1.13,1.14,1.16,1.17,1.19
295,Union,County,PA,1.12,1.11,1.12,1.12,1.13,1.13
296,Upshur,County,WV,1.06,1.08,1.08,1.1,1.1,1.11
297,Venango,County,PA,1.11,1.12,1.12,1.13,1.13,1.15
298,Virginia Beach,City,VA,1.11,1.11,1.11,1.12,1.12,1.12
299,Warren,County,NJ,1.12,1.12,1.12,1.13,1.15,1.16
300,Warren,County,PA,1.11,1.1,1.09,1.1,1.11,1.13
301,Warren,County,VA,1.14,1.15,1.14,1.13,1.11,1.1
302,Washington,County,MD,1.14,1.13,1.12,1.12,1.11,1.1
303,Washington,County,PA,1.11,1.1,1.1,1.09,1.08,1.07
304,Washington,County,VA,1.1,1.1,1.11,1.11,1.11,1.12
305,Wayne,County,PA,1.11,1.12,1.13,1.14,1.15,1.16
306,Wayne,County,WV,1.09,1.09,1.1,1.11,1.12,1.13
307,Waynesboro,City,VA,1.12,1.13,1.14,1.15,1.16,1.16
308,Webster,County,WV,1.09,1.08,1.07,1.08,1.08,1.07
309,Westchester,County,NY,1.12,1.12,1.11,1.11,1.09,1.08
310,Westmoreland,County,PA,1.09,1.07,1.08,1.08,1.08,1.09
311,Westmoreland,County,VA,1.09,1.09,1.1,1.1,1.1,1.08
312,Wetzel,County,WV,1.11,1.11,1.1,1.1,1.09,1.08
313,Wicomico,County,MD,1.09,1.1,1.09,1.09,1.11,1.11
314,Williamsburg,City,VA,1.06,1.08,1.07,1.05,1.05,1.04
315,Winchester,City,VA,1.15,1.13,1.13,1.11,1.11,1.09
316,Wirt,County,WV,1.13,1.15,1.15,1.15,1.16,1.14
317,Wise,County,VA,1.1,1.1,1.1,1.12,1.13,1.14
318,Wood,County,WV,1.1,1.1,1.11,1.11,1.11,1.11
319,Worcester,County,MD,1.11,1.11,1.11,1.1,1.1,1.1
320,Wyoming,County,PA,1.11,1.11,1.13,1.15,1.17,1.19
321,Wyoming,County,WV,1.1,1.11,1.11,1.1,1.1,1.1
322,Wythe,County,VA,1.1,1.11,1.11,1.12,1.12,1.12
323,Yates,County,NY,1.09,1.1,1.1,1.11,1.11,1.1
324,York,County,PA,1.11,1.12,1.12,1.11,1.11,1.11
325,York,County,VA,1.09,1.09,1.09,1.09,1.08,1.07
