,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
150,Kent,County,MD,1.26,1.35,1.58,2.09,2.56,2.65
151,King George,County,VA,1.29,1.35,1.45,2.02,2.67,3.04
152,King William,County,VA,1.21,1.3,1.39,1.62,1.86,2.18
153,King and Queen,County,VA,1.22,1.27,1.42,1.72,2.04,2.29
154,Lackawanna,County,PA,1.39,1.69,2.05,2.8,3.66,4.04
155,Lancaster,County,PA,1.27,1.47,1.67,2.05,2.45,3.21
156,Lancaster,County,VA,1.28,1.35,1.54,1.83,2.03,2.79
157,Lawrence,County,PA,1.28,1.29,1.38,1.84,2.36,2.83
158,Lebanon,County,PA,1.32,1.5,1.83,2.53,3.28,4.02
159,Lee,County,VA,1.25,1.33,1.47,1.73,2.05,2.47
160,Lehigh,County,PA,1.31,1.38,1.42,1.65,2.21,6.3
161,Lewis,County,WV,1.26,1.24,1.26,1.45,1.67,2.59
162,Lexington,City,VA,1.3,1.33,1.39,1.73,2.29,4.31
163,Lincoln,County,WV,1.22,1.27,1.33,1.54,1.8,2.36
164,Livingston,County,NY,1.41,1.48,1.53,1.63,1.91,2.35
165,Logan,County,WV,1.24,1.31,1.41,1.61,1.84,2.48
166,Loudoun,County,VA,1.28,1.33,1.5,1.81,2.13,2.51
167,Louisa,County,VA,1.31,1.48,1.67,2.08,2.51,3.1
168,Lunenburg,County,VA,1.35,1.43,1.49,1.58,1.66,2.19
169,Luzerne,County,PA,1.34,1.54,1.76,2.18,2.63,3.34
170,Lycoming,County,PA,1.22,1.38,1.58,1.99,2.44,3.28
171,Lynchburg,City,VA,1.29,1.34,1.39,1.62,1.91,2.55
172,Madison,County,NY,1.25,1.29,1.32,1.43,1.6,2.34
173,Madison,County,VA,1.38,1.67,1.94,2.48,3.06,3.45
174,Manassas,City,VA,1.24,1.3,1.66,2.5,3.53,4.49
175,Manassas Park,City,VA,1.27,1.33,1.75,2.64,3.67,4.07
176,Marion,County,WV,1.33,1.32,1.36,1.61,1.93,2.65
177,Marshall,County,WV,1.22,1.27,1.4,1.78,2.21,2.7
