,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
198,Montgomery,County,VA,1.09,1.06,1.04,1.01,0.99,0.95
199,Montour,County,PA,1.1,1.1,1.08,1.04,1.0,0.94
200,Morgan,County,WV,1.08,1.06,1.05,1.05,1.06,0.93
201,Morris,County,NJ,1.05,1.01,0.97,0.92,0.86,0.88
202,Nassau,County,NY,1.03,1.01,1.01,1.01,1.01,0.9
203,Nelson,County,VA,0.99,0.96,0.96,1.01,1.04,0.94
204,New Castle,County,DE,1.0,0.97,0.97,0.96,0.95,0.9
205,New Kent,County,VA,1.06,1.04,1.02,1.0,0.99,0.83
206,New York,County,NY,1.03,0.97,0.92,0.84,0.79,0.83
207,Newport News,City,VA,1.06,1.04,1.03,1.0,0.97,0.88
208,Nicholas,County,WV,1.05,1.03,1.0,0.92,0.87,0.9
209,Norfolk,City,VA,1.05,1.0,0.95,0.86,0.81,0.88
210,Northampton,County,PA,1.05,1.03,1.03,1.03,1.03,0.91
211,Northampton,County,VA,1.04,0.99,0.95,0.89,0.84,0.89
212,Northumberland,County,PA,1.1,1.11,1.1,1.08,1.05,0.96
213,Northumberland,County,VA,1.04,1.0,0.98,0.96,0.92,0.79
214,Norton,City,VA,1.08,1.04,0.98,0.88,0.79,0.92
215,Nottoway,County,VA,1.03,1.04,1.04,1.0,0.96,0.9
216,Ocean,County,NJ,1.08,1.05,1.03,1.0,0.97,0.95
217,Ohio,County,WV,1.03,1.04,1.06,1.03,0.99,0.94
218,Oneida,County,NY,1.03,1.0,0.98,0.97,0.97,0.95
219,Onondaga,County,NY,1.03,1.04,1.04,1.01,0.99,0.95
220,Ontario,County,NY,0.98,0.94,0.93,0.95,0.97,0.99
221,Orange,County,NY,1.07,1.05,1.02,0.98,0.96,0.92
222,Orange,County,VA,0.97,0.92,0.91,0.92,0.94,0.9
223,Otsego,County,NY,1.09,1.09,1.06,1.01,0.97,0.96
224,Page,County,VA,0.96,0.93,0.92,0.92,0.92,0.89
225,Patrick,County,VA,1.07,1.05,1.06,1.04,1.03,0.92
226,Pendleton,County,WV,1.0,0.96,0.95,0.93,0.92,0.88
227,Perry,County,PA,1.08,1.11,1.12,1.11,1.09,0.94
228,Petersburg,City,VA,1.07,1.03,0.99,0.93,0.88,0.88
229,Philadelphia,County,PA,1.04,1.04,1.03,0.99,0.93,0.89
230,Pike,County,PA,1.08,1.1,1.11,1.09,1.06,0.95
231,Pittsylvania,County,VA,1.09,1.08,1.08,1.07,1.07,0.91
232,Pleasants,County,WV,1.05,1.03,1.02,1.03,1.05,0.94
233,Pocahontas,County,WV,1.04,0.99,0.95,0.89,0.84,0.96
234,Poquoson,City,VA,1.05,1.02,0.98,0.93,0.88,0.86
235,Portsmouth,City,VA,1.05,1.0,0.95,0.86,0.81,0.88
236,Potter,County,PA,1.01,1.02,1.02,0.97,0.93,0.94
237,Powhatan,County,VA,1.0,1.0,1.02,1.05,1.05,0.85
238,Preston,County,WV,1.01,0.99,0.96,0.92,0.88,0.95
239,Prince Edward,County,VA,1.05,1.04,1.04,1.0,0.96,0.92
240,Prince George,County,VA,1.07,1.03,0.99,0.93,0.88,0.88
241,Prince George's,County,MD,1.02,0.97,0.93,0.87,0.83,0.93
242,Prince William,County,VA,1.0,0.94,0.91,0.86,0.83,0.91
243,Pulaski,County,VA,1.08,1.06,1.05,1.05,1.04,0.97
244,Putnam,County,WV,1.06,1.08,1.09,1.07,1.06,0.94
245,Queen Anne's,County,MD,1.01,1.0,1.0,1.01,1.0,0.84
246,Radford,City,VA,1.08,1.06,1.06,1.05,1.05,0.95
247,Raleigh,County,WV,1.09,1.08,1.07,1.03,0.99,0.88
248,Randolph,County,WV,1.04,1.01,0.97,0.9,0.85,0.95
249,Rappahannock,County,VA,0.94,0.92,0.92,0.92,0.93,0.88
250,Richmond,County,NY,1.03,0.97,0.92,0.84,0.79,0.79
251,Richmond,County,VA,1.02,1.01,0.99,0.95,0.93,0.75
252,Richmond,City,VA,1.01,1.04,1.05,1.05,1.03,0.93
253,Ritchie,County,WV,1.07,1.06,1.05,1.07,1.09,0.99
254,Roane,County,WV,1.09,1.11,1.09,1.07,1.03,0.94
255,Roanoke,County,VA,1.09,1.07,1.04,1.01,1.0,0.95
256,Roanoke,City,VA,1.1,1.07,1.05,1.03,1.02,0.89
257,Rockbridge,County,VA,1.04,1.03,1.02,0.98,0.95,0.91
258,Rockingham,County,VA,0.98,0.95,0.94,0.93,0.92,0.9
259,Russell,County,VA,1.11,1.08,1.05,0.99,0.94,0.95
260,Salem,County,NJ,1.03,1.03,1.02,0.98,0.92,0.91
261,Salem,City,VA,1.09,1.06,1.04,1.01,0.99,0.88
262,Schoharie,County,NY,1.1,1.04,1.0,0.96,0.91,0.93
263,Schuyler,County,NY,0.99,1.02,1.04,1.0,0.97,0.92
264,Schuylkill,County,PA,1.06,1.06,1.06,1.05,1.04,0.91
265,Scott,County,VA,1.1,1.05,1.0,0.9,0.81,0.93
266,Shenandoah,County,VA,0.99,0.96,0.94,0.91,0.9,0.92
267,Smyth,County,VA,1.1,1.1,1.09,1.1,1.1,0.98
268,Snyder,County,PA,1.08,1.09,1.08,1.07,1.05,0.99
269,Somerset,County,MD,1.08,1.05,1.03,0.98,0.92,0.86
270,Somerset,County,PA,1.0,0.96,0.95,0.93,0.92,0.98
271,Southampton,County,VA,1.09,1.08,1.04,0.99,0.94,0.96
272,Spotsylvania,County,VA,0.99,0.94,0.92,0.9,0.89,0.88
273,St. Mary's,County,MD,1.01,0.98,0.97,0.96,0.92,0.76
274,Stafford,County,VA,1.0,0.96,0.93,0.91,0.89,0.87
275,Staunton,City,VA,1.0,0.96,0.95,0.94,0.93,0.86
